0.65,36.4,0,1.58,0.12,1.14,0
0,3.16,0,0.70217,0.63357,6.2,0
0,147.71,0,4.7533,23.261,5.6107,0
0,48.69,0,0.26,0,1.08,0
0,7233,0,192.23,3565.6,642.05,0
0,1216.1,0,7.7303,1.6701,55.951,0
0,155.66,0,1.1719,0.39975,5.8161,0
0,0,0,0,0,0,0
0,0.9657,0,3.927,0.19802,114.28,0
0,2000,0,35.603,1.864,122.62,0
54.7,889.1,0,129.2,550.61,1244.6,0
0,2.34,0,0.49,0.46,4.55,0
0,0.15,0,0.026528,0.026536,0.29,0
0,49.44,0,16.447,4.8166,109.26,0
0,0,0,0,0,0,0
3.87,535.59,0,158.46,383.69,203.87,0
0,0,0,0,0,0,0
0,120.22,0,1.113,2.7519,49.202,0
0,88.03,0,11.852,11.234,79.61,0
0,1.1146,0,0.23216,0.2207,14.381,0
0,1.12,0,0.21,0.22,2.05,0
0,95.452,0,31.632,115.61,428.37,0
0,1.9653,0,0.41466,0.39438,3.8222,0
48.69,727.94,0,249.66,268.2,83.759,0
0,67.11,0,4.7322,0.74757,92.14,0
0,0.56435,0,0.12423,0.11424,1.2201,0
0,623.22,0,709.8,31.305,68.74,0
0,25.16,0,24.67,3.6,146.49,0
0,0.01,0,0.0034158,0.0032955,0.03,0
0.1,565.1,0,94.466,1090,617.85,0
0,6.04,0,0.41217,0.37357,17.56,0
0,0.14,0,0.03,0.02,0.3,0
0,0,0,0,0,0,0
71.27,2631.1,0,384.18,1352.5,3911.2,0
0,0.53,0,0.11217,0.093569,1.12,0
0,127.06,0,49.822,3.4652,238.66,0
0,2499.7,0,29.569,0.86141,251.6,0
0,17.073,0,1.0034,2.284,2.6358,0
0,77.534,0,23.186,6.8977,196.22,0
44.1,2577.6,0,510.64,433.65,2303.5,0
0,0,0,0,0,0,0
0,125.27,0,456.59,20.325,298.75,0
0,212.58,0,102.27,12.146,111.83,0
0,27.912,0,1.5152,1.9674,3.7242,0
0,689.64,0,64.44,91.263,53.83,0
442.81,5717.3,0,1089,8063.2,4499.6,0
0,56.9,0,22.155,2.9178,79.117,0
0,64.755,0,55.457,1.5889,14.796,0
857.92,1340,0,425.54,387.17,890.94,0
0.09,332.4,0,142.34,5.7571,244.04,0
959.9,1624,0,264.54,22.262,375.91,0
419.71,693.3,0,273.02,47.263,138.53,0
11.55,229.45,0,77.656,74.616,6.3241,0
390.1,6965.9,0,2227.6,909.58,2249.7,0
1.1046,165.89,0,73.487,42.985,255.55,0
584.15,100.91,0,118.76,33.253,115.45,0
143.97,273.62,0,112.2,45.334,3.7107,0
1589.2,15864,0,3826.1,4874,8197.5,0
