"state","year","NOx","NH3","SO2","PM25","VOCs","Biogenic VOCs","NOx","NH3","SO2","PM25","VOCs","Biogenic VOCs"
"AL",2008,65.1783592744087,200.949740679495,55.6865868779031,2.84681777059468,178.083768098442,1552.2801,2.14530666995577,181.29328085993,24.9357046740274,435.218694992943,32.5923359615806,0
"AL",2011,63.874805781786,235.47480792104,87.3362133427836,25.7954227375146,208.852737893951,1718.21236,2.49287406364582,123.79858048989,22.0092030225036,245.891548084071,26.7564511767247,0
"AL",2014,48.8640624113144,212.683722546478,98.3022760568896,20.2452426116887,194.829449955593,1678.41227,2.46531605798508,113.510125780601,18.9701083906125,173.640361897764,32.8508662297203,0
"AR",2008,122.112816972831,164.997209886589,73.8002924815697,2.74220275336005,153.706586522959,1124.47616,1.1887164705,75.0447495467781,7.67107565845795,87.3081226657583,27.9646966904913,0
"AR",2011,119.459981145994,175.230773824572,71.0720188689467,2.46027444487633,144.203328021164,1461.60019,1.260979868494,71.4024466863447,6.78186620762945,84.9219176157018,22.8108351168118,0
"AR",2014,65.0755559771944,150.816718830642,66.151954972702,1.10913983070442,128.167180801532,1339.61404,1.87144751893,71.5878245958804,5.93555795497609,85.7135155257991,24.6317141501819,0
"AZ",2008,40.412639653733,251.190011582056,61.0491112447597,4.85136836978644,194.398785101002,1920.4181,1.115569441717,94.8096802640628,9.41022472297609,82.4338281855898,3.77491683591814,0
"AZ",2011,39.2154800559469,207.716077874895,44.2870270665007,1.80420419083418,164.54761036646,2102.9645,1.71711867569,68.351263647376,8.44774358442987,68.3021998458141,3.43482553131875,0
"AZ",2014,30.8283998214659,184.584076010592,46.9944879119322,1.54780795307756,160.849112252272,1850.6714,1.68260872735,62.861617435243,8.05235205666986,47.2166313436809,5.57009843674723,0
"CA",2008,344.157238322199,991.383959865092,204.673923144999,18.1680960196932,710.148319414356,3284.154299,12.8576938297713,94.9087133992866,23.7563152933572,27.6514804428343,42.7697868394487,0
"CA",2011,256.578715473652,694.082529393541,109.735384633738,8.42661586830799,578.311429492497,2349.232648,9.38908481167939,76.0089710452786,19.0669170146447,21.2630494674343,39.3471472025132,0
"CA",2014,446.674755238478,516.77806503013,106.584501536925,9.7142741862166,622.480738572476,2668.490988,9.42264518502851,63.2747741857003,17.6054807574406,14.2032089490543,40.1543635591967,0
"CO",2008,72.584105263916,181.88837388602,67.8767448227222,1.84951175080171,145.577518239228,865.17401,0.468793869,113.235656724621,9.04838348699643,65.0392288239561,72.1927577732454,0
"CO",2011,72.686290715218,227.199802846494,60.3667760378541,1.91325129904471,392.025925875302,865.318571,0.4752143103,101.540407302697,8.84263492882699,50.8111190073536,73.0580466205773,0
"CO",2014,52.3485566525385,195.680447439612,45.5217207836322,0.647781548399627,198.755508880403,714.484334,0.62561537856,83.3555159052456,6.9825430044849,31.8848812841316,46.8364857515938,0
"CT",2008,4.70062597060601,84.9623259641782,15.6574136117383,13.8909731705136,84.7771907248766,48.7275,0.282728262,8.58047457724587,0.533009084299743,5.55185549146658,1.24667294079609,0
"CT",2011,4.73196986401953,66.954822225923,16.1036597707617,14.0637576808646,78.7671777477758,61.10655,0.4633076521155,6.40388014715185,0.441773465254058,1.27014748589101,1.04200471041953,0
"CT",2014,3.69908702938945,57.01052235394,12.5812182705462,10.5643496194106,81.2437915364215,60.64585,0.495200783942133,6.56858693349765,0.506681859401725,1.88044991684861,1.10612514810909,0
"DC",2008,0.354438418172832,12.6087639622217,1.64882367440508,0.93019386181874,10.3976663934793,1.34771,6.255e-06,0.5966490450646,0.045465385407,0.343001629741,0.0693968223251,0
"DC",2011,0.329655929013786,8.725268180371,1.32618153047368,1.04150985091729,7.88190176402301,1.03335,9.610033e-05,0.69233047307285,0.034602001809,0.7876297056477,0.0678289222755,0
"DC",2014,0.317055712856052,8.1302509864927,1.23167864172387,0.202192645803214,8.89716100979511,1.35028,8.197504e-05,0.44819926244,0.03154055295,0.049321785096,0.04178031083,0
"DE",2008,13.7016326237021,29.753396003737,3.88560079147923,3.17323143278603,25.5724372097206,27.05632,0.27008267345,13.849347342978,2.95226315488219,41.1082814960204,3.1324382324575,0
"DE",2011,5.61295519164727,24.7319671545838,4.29510698011582,2.39442766502746,21.0807699337948,22.78395,0.1577453836201,5.62385230670301,1.25431305973828,11.4883083164599,1.7496449993692,0
"DE",2014,7.04499759902559,23.188588322418,3.72210140061819,2.43026876550744,18.94250749891,21.96285,0.2074869800815,5.2152147404965,0.452387404690999,1.89935167827675,1.21007640097186,0
"FL",2008,42.7672989008775,639.187938560876,80.3815912656104,22.7742539198049,642.667075756837,1631.17213,5.374053147,214.506211701699,29.5755378602989,312.368549355666,33.265436513432,0
"FL",2011,46.2836157748747,499.941174130062,94.0787858288278,30.1228588491468,610.080619528874,1545.25282,5.854923959373,109.626952980072,22.2881306413206,132.862160650809,29.6000872748309,0
"FL",2014,73.2278997997693,440.068139437697,144.597919237808,20.0847870699269,504.284855363795,1663.39282,4.409069038817,118.549141290441,20.9262708195412,133.607692130693,30.2794258869681,0
"GA",2008,91.1036897628318,440.829189190306,115.730932542041,4.46194322955229,395.742587823236,1817.22731,6.6083758324,162.863766730857,12.9699259901442,562.301918601339,29.9205673443723,0
"GA",2011,96.8274960707922,332.754173489699,122.505436496188,8.22220523171958,312.601368980895,1832.71539,6.7077261603043,103.145281020135,18.6601104525541,215.798100936624,28.5768892526205,0
"GA",2014,75.0746188723181,264.310960611598,95.0471889123001,6.03436202127283,277.074682718033,1779.26426,6.5630623086609,84.9337550382541,16.3912919058595,91.8240859427499,30.4326549821665,0
